icao24,callsign,origin_country,longitude,latitude,baro_altitude,true_track,velocity_kmh,origin_country
a1641b,N189WM  ,United States,-82.5673,35.4582,792.48,67.05,170.964,United States
a5cb96,N4725G  ,United States,-82.2936,28.1663,1158.24,2.18,194.616,United States
0d0af1,VIV2133 ,Mexico,-95.6567,19.3962,11894.82,100.1,876.6,Mexico
a29723,N266VA  ,United States,-70.6423,43.2916,982.98,181.15,185.22000000000003,United States
a95251,N70BC   ,United States,-75.9664,41.7937,12192.0,240.74,704.772,United States
a05776,AAL1968 ,United States,-98.7537,35.2902,10668.0,85.53,997.5600000000001,United States
a83e86,JBU1932 ,United States,-81.4139,30.0539,7955.28,335.75,838.8720000000001,United States
0d11cc,VIV1129 ,Mexico,-100.0464,25.7442,899.16,120.92,436.068,Mexico
a69b8f,N915AB  ,United States,-98.551,29.2957,2385.06,348.26,537.192,United States
0d0af7,AMX693  ,Mexico,-90.2442,35.2872,10805.16,220.19,812.16,Mexico
44023f,EJU79VG ,Austria,-3.6689,42.7079,11277.6,195.42,835.704,Austria
a6f23d,DAL699  ,United States,-116.5803,47.507,10370.82,275.1,792.072,United States
ae74d6,ZEUS11  ,United States,-78.7749,35.8437,213.36,184.36,195.012,United States
ac1afa,SWA386  ,United States,-84.9341,27.1269,11346.18,200.0,898.74,United States
3c5ee8,EWG7R   ,Germany,-2.3252,43.0975,10058.4,225.94,801.576,Germany
3c5ee7,EWG1H   ,Germany,7.1759,51.7817,6858.0,41.93,781.6320000000001,Germany
3c5ee6,EWG3NB  ,Germany,2.5138,39.6112,1882.14,235.03,458.82,Germany
a6eb93,ASI670  ,United States,-112.1078,33.69,525.78,108.43,140.544,United States
e8021b,LPE2440 ,Chile,-76.3702,-8.6918,10660.38,10.74,835.056,Chile
0d11e6,VIV1253 ,Mexico,-115.9684,31.9817,7741.92,117.34,854.8199999999999,Mexico
ae5ae9,1520775 ,United States,-99.4389,43.8774,1760.22,95.42,293.94000000000005,United States
4bc8cd,PGT25V  ,Turkey,30.0391,39.3206,9448.8,156.31,792.792,Turkey
ae1477,MNTNA52 ,United States,-97.4491,27.7173,129.54,190.51,182.70000000000002,United States
4acb23,NOZ9FZ  ,Sweden,4.3674,52.4523,11277.6,18.88,835.74,Sweden
acd481,AAL2254 ,United States,-97.6726,41.8412,8526.78,272.65,721.1880000000001,United States
3c65d2,DLH2PU  ,Germany,13.2018,51.0004,10363.2,184.74,695.0160000000001,Germany
a8f5ba,N677AA  ,United States,-74.7858,39.1865,998.22,33.69,233.71200000000002,United States
3c65c7,DLH43U  ,Germany,3.3851,44.6873,10972.8,60.51,925.5239999999999,Germany
3c65c4,DLH7HP  ,Germany,21.8816,58.5156,10965.18,224.58,715.032,Germany
3c65c9,DLH865  ,Germany,10.8988,60.1441,4038.6,192.41,585.9720000000001,Germany
acd486,DAL1248 ,United States,-79.3687,38.8867,8740.14,57.51,882.648,United States
3c5ee4,EWG86M  ,Germany,17.8598,44.116,2857.5,143.04,458.928,Germany
3c5ee3,EWG7979 ,Germany,21.1423,44.2785,11590.02,325.23,789.12,Germany
3c5ee2,EWG7H   ,Germany,16.3721,43.719,11879.58,130.77,833.832,Germany
7c105e,DIO     ,Australia,153.1735,-29.6857,2278.38,2.68,237.312,Australia
3c5ee1,EWG1RC  ,Germany,14.5732,50.5422,10675.62,142.05,789.0840000000001,Germany
0d0afe,LET5893 ,Mexico,-89.9459,31.1878,6240.78,218.99,650.484,Mexico
a94b48,UAL327  ,United States,-102.133,38.8429,10058.4,73.72,1057.284,United States
46b82d,AEE626  ,Greece,9.3196,50.8514,10355.58,311.59,792.3960000000001,Greece
acd473,N926    ,United States,-84.8835,30.4414,2385.06,300.21,312.876,United States
46b82b,AEE4CA  ,Greece,15.6959,43.3877,10972.8,303.32,795.672,Greece
ae2790,RDHK724 ,United States,-76.4364,36.9486,373.38,177.22,190.98,United States
3c5eec,EWG12B  ,Germany,16.7717,43.5761,11879.58,123.38,858.312,Germany
46b82f,AEE6TH  ,Greece,4.6034,50.9175,411.48,249.66,229.104,Greece
a46274,N3818C  ,United States,-82.0801,34.9272,1584.96,307.43,338.184,United States
ae74ec,COVET01 ,United States,10.4665,49.3404,762.0,326.82,172.584,United States
3c65d7,DLH2NW  ,Germany,11.5584,48.769,5105.4,350.63,739.548,Germany
a04424,SKW5876 ,United States,-97.6943,39.8711,10363.2,253.55,641.0880000000001,United States
3c65d5,DLH4CP  ,Germany,11.0132,48.6951,5204.46,133.98,810.7560000000001,Germany
a8a87e,UAL135  ,United States,-74.4205,41.3426,2080.26,198.07,453.888,United States
86d6a4,ANA813  ,Japan,133.8358,33.1081,12192.0,243.74,615.384,Japan
a88bee,LIFELN2 ,United States,-104.7526,39.1257,2712.72,174.19,219.67200000000003,United States
ae145d,RCH592  ,United States,-123.3181,46.37,8542.02,355.94,731.52,United States
ae278e,LS16    ,United States,-117.12,32.5616,-38.1,285.95,80.892,United States
3c65cc,DLH6AA  ,Germany,-0.2551,51.4781,708.66,270.0,337.068,Germany
3c5ef5,EWG4AJ  ,Germany,1.8888,51.72,8321.04,279.39,703.944,Germany
478854,,Norway,-25.4685,66.1138,11582.4,269.05,781.668,Norway
440219,EJU16RX ,Austria,5.1817,45.5048,10088.88,53.85,944.964,Austria
a0dac5,N154TS  ,United States,-98.5325,26.891,7208.52,133.98,885.42,United States
c0220d,WJA2926 ,Canada,-79.1638,38.1189,10972.8,205.56,845.748,Canada
a928f4,N69GA   ,United States,-97.5976,33.9094,12131.04,315.86,787.14,United States
a41412,DAL1709 ,United States,-83.8577,32.2114,8473.44,162.98,898.668,United States
a40d26,N360JT  ,United States,-102.1299,40.2627,7924.8,300.34,439.92,United States
a1b42f,SJJ209  ,United States,-82.0268,27.1929,7924.8,163.46,832.6800000000001,United States
a5824e,N454PS  ,United States,-99.894,38.1836,7620.0,154.31,487.044,United States
46b832,AEE90C  ,Greece,27.7479,36.4596,11277.6,113.68,954.504,Greece
a94b0b,UAL393  ,United States,-110.8746,32.818,10972.8,291.67,737.352,United States
a1a110,MXY228  ,United States,-96.5902,38.1904,9144.0,266.57,712.44,United States
a33aa7,EDV5372 ,United States,-87.1898,37.7194,2042.16,353.43,518.2560000000001,United States
a5e555,N4793L  ,United States,-95.0701,30.5298,1676.4,58.67,249.336,United States
ac4917,AMX633  ,United States,-98.7793,29.0232,6385.56,204.09,671.508,United States
a091d5,DAL396  ,United States,-111.9609,40.6403,2727.96,178.15,516.96,United States
0c4182,DWI2311 ,Dominican Republic,-77.5954,33.4039,10972.8,182.62,930.6719999999999,Dominican Republic
a4ab61,MVP921  ,United States,-81.9872,31.7686,7620.0,318.52,617.976,United States
aab9c4,EJM790  ,United States,-86.5448,33.9886,13106.4,243.07,641.916,United States
a27d48,N26GP   ,United States,-80.5667,26.995,2865.12,159.93,307.584,United States
440209,EJU35PG ,Austria,-8.3951,40.8987,2529.84,297.63,399.276,Austria
acd47e,ASA640  ,United States,-122.1807,47.6511,2255.52,1.4,455.72400000000005,United States
a52bfb,EJA432  ,United States,-87.4628,30.9332,13106.4,275.52,597.24,United States
a532f5,N434LA  ,United States,-83.5112,42.2516,365.76,207.9,142.488,United States
a101c3,AAL1878 ,United States,-87.1542,36.5658,10058.4,109.37,965.8800000000001,United States
a4c592,JBU32   ,United States,3.8439,52.0433,4015.74,244.7,714.96,United States
a114f4,AAL2932 ,United States,-82.3505,26.4727,9029.7,114.43,958.1039999999999,United States
a94b29,UAL2285 ,United States,-104.6611,39.7841,1950.72,0.24,442.62,United States
a5958c,SWA2459 ,United States,-118.5051,46.3231,11330.94,205.88,827.46,United States
a8f5c5,N677AM  ,United States,-115.1897,36.2066,937.26,125.87,148.536,United States
a72552,N56HT   ,United States,-97.6906,26.9957,4236.72,212.28,457.812,United States
abd9a6,N8627V  ,United States,-90.4075,30.4156,480.06,269.39,174.096,United States
a8584a,FFT2503 ,United States,-82.1296,38.2491,9753.6,250.31,719.928,United States
a5f87d,N484LP  ,United States,-112.7836,33.1822,2186.94,102.26,174.348,United States
a1ad44,AAY1595 ,United States,-119.822,44.7323,10241.28,112.89,890.532,United States
46b825,AEE319  ,Greece,24.0419,38.0506,739.14,217.72,299.7,Greece
46b823,AEE2FL  ,Greece,20.6933,40.4843,9753.6,321.36,803.772,Greece
46b828,AEE934  ,Greece,28.4389,34.0105,10675.62,138.73,926.4960000000001,Greece
46b826,AEE3LG  ,Greece,8.1181,47.5531,10675.62,120.67,867.744,Greece
a915cf,PDT6122 ,United States,-81.0484,35.1275,1638.3,265.56,430.95599999999996,United States
43ee73,2OOPC   ,United Kingdom,2.8495,42.8485,5882.64,165.04,638.352,United Kingdom
a2840e,XFL268  ,United States,-73.0269,40.8548,510.54,221.42,251.92800000000003,United States
a0a74d,N141KE  ,United States,-102.6287,34.3896,3048.0,236.77,256.824,United States
aa099e,JBU39   ,United States,-84.3201,11.1696,8465.82,191.36,865.152,United States
0d0aae,XAOLE   ,Mexico,-90.8012,29.2919,14325.6,280.67,840.528,Mexico
adda95,N992FG  ,United States,-78.768,35.863,129.54,287.28,174.56400000000002,United States
abd9b6,SWA2699 ,United States,-76.5714,38.8942,1767.84,348.41,451.836,United States
4acb5a,SAS4719 ,Sweden,8.883,45.5963,2286.0,168.42,627.624,Sweden
0d0ac8,VIV2198 ,Mexico,-89.7127,20.9692,10980.42,290.5,814.572,Mexico
a57b8b,SWA1070 ,United States,-87.6103,39.891,11887.2,94.2,986.0760000000001,United States
